date,count
2022-01-02,180
2022-01-03,152
2022-01-04,180
2022-01-05,179
2022-01-06,231
2022-01-07,160
2022-01-08,236
2022-01-09,185
2022-01-10,513
2022-01-11,305
2022-01-12,566
2022-01-13,424
2022-01-14,552
2022-01-15,322
2022-01-16,404
2022-01-17,630
2022-01-18,519
2022-01-19,575
2022-01-20,585
2022-01-21,559
2022-01-22,404
2022-01-23,369
2022-01-24,800
2022-01-25,433
2022-01-26,710
2022-01-27,553
2022-01-28,673
2022-01-29,382
2022-01-30,485
2022-01-31,757
2022-02-01,535
2022-02-02,703
2022-02-03,648
2022-02-04,655
2022-02-05,475
2022-02-06,465
2022-02-07,857
2022-02-08,520
2022-02-09,770
2022-02-10,643
2022-02-11,703
2022-02-12,438
2022-02-14,817
2022-02-15,532
2022-02-16,711
2022-02-17,656
2022-02-18,636
2022-02-19,449
2022-02-20,434
2022-02-21,791
2022-02-22,470
2022-02-23,485
2022-02-24,670
2022-02-25,533
2022-02-26,370
2022-02-27,389
2022-02-28,764
2022-03-02,654
2022-03-03,481
2022-03-04,568
2022-03-05,332
2022-03-06,349
2022-03-07,431
2022-03-08,304
2022-03-09,538
2022-03-10,411
2022-03-11,498
2022-03-12,330
2022-03-13,366
2022-03-14,612
2022-03-15,417
2022-03-16,547
2022-03-17,472
2022-03-18,532
2022-03-19,322
2022-03-20,330
2022-03-21,670
2022-03-22,354
2022-03-23,568
2022-03-24,466
2022-03-25,506
2022-03-26,305
2022-03-27,347
2022-03-28,626
2022-03-29,355
2022-03-30,569
2022-03-31,461
2022-04-01,521
2022-04-02,323
2022-04-03,351
2022-04-04,651
2022-04-05,401
2022-04-06,623
2022-04-07,522
2022-04-08,577
2022-04-09,380
2022-04-10,372
2022-04-11,758
2022-04-12,430
2022-04-13,678
2022-04-14,504
2022-04-15,616
2022-04-16,332
2022-04-17,416
2022-04-18,715
2022-04-19,441
2022-04-20,652
2022-04-21,531
2022-04-22,570
2022-04-23,364
2022-04-24,325
2022-04-25,726
2022-04-26,387
2022-04-27,626
2022-04-28,474
2022-04-29,569
2022-05-01,287
2022-05-02,434
2022-05-04,511
2022-05-05,412
2022-05-06,434
2022-05-07,297
2022-05-08,276
2022-05-09,418
2022-05-10,293
2022-05-11,568
2022-05-12,427
2022-05-13,485
2022-05-14,367
2022-05-15,368
2022-05-16,700
2022-05-17,434
2022-05-18,607
2022-05-19,518
2022-05-20,585
2022-05-21,380
2022-05-22,382
2022-05-23,730
2022-05-24,426
2022-05-25,642
2022-05-26,497
2022-05-27,539
2022-05-28,320
2022-05-29,351
2022-05-30,668
2022-05-31,420
2022-06-01,605
2022-06-02,502
2022-06-03,560
2022-06-04,358
2022-06-05,351
2022-06-06,714
2022-06-08,608
2022-06-09,474
2022-06-10,564
2022-06-11,305
2022-06-12,347
2022-06-13,457
2022-06-14,535
2022-06-15,451
2022-06-16,568
2022-06-17,456
2022-06-18,340
2022-06-19,341
2022-06-20,682
2022-06-21,382
2022-06-22,578
2022-06-23,450
2022-06-24,521
2022-06-26,339
2022-06-27,614
2022-06-28,378
2022-06-29,602
2022-06-30,432
2022-07-01,491
2022-07-02,287
2022-07-03,306
2022-07-04,624
2022-07-05,379
2022-07-06,544
2022-07-07,450
2022-07-08,484
2022-07-09,261
2022-07-10,302
2022-07-11,588
2022-07-12,364
2022-07-13,521
2022-07-14,430
2022-07-15,436
2022-07-16,294
2022-07-17,275
2022-07-18,586
2022-07-19,348
2022-07-20,491
2022-07-21,401
2022-07-22,469
2022-07-23,250
2022-07-24,274
2022-07-25,571
2022-07-26,313
2022-07-27,478
2022-07-29,433
2022-07-30,226
2022-08-01,494
2022-08-02,347
2022-08-03,427
2022-08-04,410
2022-08-05,380
2022-08-06,247
2022-08-07,239
2022-08-08,507
2022-08-09,289
2022-08-10,443
2022-08-11,363
2022-08-12,382
2022-08-13,208
2022-08-14,237
2022-08-15,520
2022-08-16,306
2022-08-17,480
2022-08-18,383
2022-08-20,264
2022-08-21,261
2022-08-22,525
2022-08-23,328
2022-08-24,493
2022-08-25,378
2022-08-27,273
2022-08-28,377
2022-08-29,514
2022-08-30,320
2022-08-31,474
2022-09-01,409
2022-09-02,417
2022-09-03,288
2022-09-04,283
2022-09-05,595
2022-09-06,342
2022-09-07,544
2022-09-08,393
2022-09-09,496
2022-09-10,303
2022-09-11,287
2022-09-12,695
2022-09-13,359
2022-09-14,511
2022-09-15,425
2022-09-16,471
2022-09-18,287
2022-09-19,437
2022-09-20,328
2022-09-21,504
2022-09-22,389
2022-09-23,452
2022-09-24,279
2022-09-25,281
2022-09-26,525
2022-09-27,310
2022-09-28,454
2022-09-29,341
2022-09-30,417
2022-10-01,258
2022-10-02,249
2022-10-03,503
2022-10-04,284
2022-10-05,442
2022-10-06,337
2022-10-07,410
2022-10-08,250
2022-10-09,267
2022-10-10,493
2022-10-11,313
2022-10-12,436
2022-10-13,393
2022-10-14,404
2022-10-15,267
2022-10-16,254
2022-10-17,543
2022-10-18,341
2022-10-19,512
2022-10-20,415
2022-10-21,466
2022-10-22,324
2022-10-23,299
2022-10-24,616
2022-10-25,339
2022-10-26,559
2022-10-27,389
2022-10-28,488
2022-10-29,293
2022-10-31,542
2022-11-01,361
2022-11-02,499
2022-11-03,395
2022-11-04,380
2022-11-05,291
2022-11-06,257
2022-11-07,606
2022-11-08,330
2022-11-09,567
2022-11-10,393
2022-11-11,521
2022-11-12,296
2022-11-13,356
2022-11-14,610
2022-11-15,404
2022-11-16,561
2022-11-17,491
2022-11-18,554
2022-11-19,398
2022-11-20,409
2022-11-21,810
2022-11-22,524
2022-11-23,778
2022-11-24,578
2022-11-25,773
2022-11-26,461
2022-11-27,588
2022-11-28,890
2022-11-29,567
2022-11-30,878
2022-12-01,709
2022-12-02,780
2022-12-03,549
2022-12-04,580
2022-12-05,833
2022-12-06,639
2022-12-07,833
2022-12-08,678
2022-12-09,721
2022-12-10,516
2022-12-11,470
2022-12-12,850
2022-12-13,505
2022-12-14,729
2022-12-15,503
2022-12-16,626
2022-12-17,518
2022-12-18,378
2022-12-19,618
2022-12-20,415
2022-12-21,545
2022-12-22,418
2022-12-23,459
2022-12-24,295
2022-12-25,306
2022-12-26,454
2022-12-27,269
2022-12-28,368
2022-12-29,239
2022-12-30,235
2022-12-31,89
